Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
c,6,2018,0.0,0.5672986856003808,386.8833634127236,0.0,278.1308579432637,1385.3060067262745,665.5815200415877,2050.8875267678623
c,6,2019,0.0,0.7448017913237739,533.8608161592333,0.0,390.7554281661134,1945.9287943929442,925.3610461166704,2871.289840509615
c,6,2020,0.0,0.9771275907434532,604.9427657467569,0.0,464.2402439925239,2311.427202220361,1070.160137330024,3381.587339550385
c,6,2021,0.0,0.7903193891815478,338.0491855320595,0.0,340.28272297117036,1694.1094764358993,679.1222278924114,2373.2317043283106
c,6,2022,0.0,0.6037694017935277,287.13902744014354,0.0,231.77614406507905,1154.0056289083464,519.518940907016,1673.5245698153624
c,6,2023,0.0,0.9256529820806202,566.3392148821437,0.0,442.17358127027467,2201.5561114311395,1009.4384491344989,3210.9945605656385
c,7,2013,0.0,2.605463170213336,2.612262644166743,0.0,86.0082199764,1219.1206585219973,91.22594579078007,1310.3466043127773
c,7,2014,0.0,1.716354259538143,2.6113767631667426,0.0,134.633738509,1908.2885753579392,138.9614695317049,2047.250044889644
c,7,2015,0.0,0.8391237439709046,2.604976916810778,0.0,129.944574404,1841.8185802927342,133.3886750647817,1975.2072553575158
c,7,2016,0.0,1.6761511225722248,2.60503472095924,0.0,93.3205711075,1323.4269770716442,97.60175695103146,1421.0287340226755
c,7,2017,0.0,1.2865366846056046,2.5904847110957725,0.0,87.31937335090001,1237.4631141015398,91.19639474660138,1328.659508848141
c,7,2018,0.0,1.2607906118647092,2.594305462716252,0.0,92.4619930292,1310.4189781876873,96.31708910378096,1406.7360672914683
c,7,2019,0.0,0.39422476230581205,5.337107378095773,0.0,132.3669613347,1875.4213650242073,138.09829347510157,2013.519658499309
c,7,2020,0.0,1.3488662665668518,3.353915091623756,0.0,173.7397287839,2462.1960799832736,178.4425101420906,2640.6385901253643
c,7,2021,0.0,2.2287243399012953,3.353915091623756,0.0,130.3587528011,1848.292161188431,135.94139223262505,1984.233553421056
c,7,2022,0.0,1.2147938086847248,4.779296245875293,0.0,83.8989185125,1189.1360470374898,89.89300856706002,1279.0290556045497
